
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29456_16_887d39                                     
  Mach  =    0.850
  alpha =    2.065    CLtot =    0.181
  beta  =    0.000

  Sref  =   856.90000
  Bref  =    69.56000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064174813110982     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1246  0.126837E-02    -0.309076E-04
   -0.1306  0.113270E-02    -0.237780E-04
   -0.1379  0.922072E-03    -0.163054E-04
   -0.1461  0.678620E-03    -0.981263E-05
   -0.1546  0.451707E-03    -0.506604E-05
   -0.1627  0.267296E-03    -0.214961E-05
   -0.1701  0.133781E-03    -0.691004E-06
   -0.1761  0.508112E-04    -0.142883E-06
   -0.1803  0.110744E-04    -0.129447E-07
   -0.1825  0.666316E-06    -0.184186E-09
   -0.1828   0.00000         -0.00000    
