
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29400_17_2304c5                                     
  Mach  =    0.850
  alpha =    2.702    CLtot =    0.173
  beta  =    0.000

  Sref  =   879.40000
  Bref  =    64.55000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060511231603408     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1343  0.845985E-03    -0.234439E-04
   -0.1407  0.759714E-03    -0.183059E-04
   -0.1486  0.631364E-03    -0.128543E-04
   -0.1574  0.483713E-03    -0.798026E-05
   -0.1666  0.338290E-03    -0.426051E-05
   -0.1754  0.209726E-03    -0.186511E-05
   -0.1833  0.109106E-03    -0.615618E-06
   -0.1897  0.426698E-04    -0.129962E-06
   -0.1943  0.948476E-05    -0.119566E-07
   -0.1966  0.577164E-06    -0.171925E-09
   -0.1969   0.00000         -0.00000    
