
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_28776_7_7ed58e                                      
  Mach  =    0.850
  alpha =    2.319    CLtot =    0.175
  beta  =    0.000

  Sref  =   939.00000
  Bref  =    60.55000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063947151114780     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1431  0.942419E-03    -0.272338E-04
   -0.1500  0.842589E-03    -0.211448E-04
   -0.1584  0.695356E-03    -0.147195E-04
   -0.1678  0.525918E-03    -0.902859E-05
   -0.1776  0.360837E-03    -0.475073E-05
   -0.1870  0.219020E-03    -0.204872E-05
   -0.1954  0.111719E-03    -0.666937E-06
   -0.2023  0.429929E-04    -0.139182E-06
   -0.2071  0.944789E-05    -0.126908E-07
   -0.2096  0.571007E-06    -0.181327E-09
   -0.2100   0.00000         -0.00000    
