
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_23976_13_d5a9fd                                     
  Mach  =    0.850
  alpha =    1.800    CLtot =    0.151
  beta  =    0.000

  Sref  =  1058.00000
  Bref  =    64.85000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062050886661527     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1336  0.736603E-03    -0.191156E-04
   -0.1401  0.653933E-03    -0.146868E-04
   -0.1479  0.529633E-03    -0.100699E-04
   -0.1567  0.389727E-03    -0.606989E-05
   -0.1658  0.260329E-03    -0.314184E-05
   -0.1746  0.154639E-03    -0.133640E-05
   -0.1824  0.776187E-04    -0.430398E-06
   -0.1888  0.295352E-04    -0.891106E-07
   -0.1934  0.644412E-05    -0.807980E-08
   -0.1957  0.387923E-06    -0.115020E-09
   -0.1960   0.00000         -0.00000    
