
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_16368_16_518d91                                     
  Mach  =    0.850
  alpha =    1.896    CLtot =    0.162
  beta  =    0.000

  Sref  =   973.20000
  Bref  =    70.34000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0066306511231162     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.807184E-01     0.150991E-01
    0.0003  0.805854E-01     0.150578E-01
    0.0023  0.803193E-01     0.149754E-01
    0.0064  0.797885E-01     0.148118E-01
    0.0125  0.789953E-01     0.145692E-01
    0.0206  0.779436E-01     0.142511E-01
    0.0307  0.766387E-01     0.138620E-01
    0.0427  0.750869E-01     0.134074E-01
    0.0565  0.732965E-01     0.128935E-01
    0.0722  0.712772E-01     0.123275E-01
    0.0896  0.690419E-01     0.117170E-01
    0.1087  0.666126E-01     0.110704E-01
    0.1294  0.640254E-01     0.103959E-01
    0.1525  0.611669E-01     0.967111E-02
    0.1782  0.580089E-01     0.890756E-02
    0.2052  0.546664E-01     0.814580E-02
    0.2336  0.511706E-01     0.739589E-02
    0.2631  0.475752E-01     0.666715E-02
    0.2937  0.439520E-01     0.596763E-02
    0.3252  0.403814E-01     0.530367E-02
    0.3571  0.369838E-01     0.468359E-02
    0.3893  0.338048E-01     0.410868E-02
    0.4220  0.308046E-01     0.357589E-02
    0.4550  0.279693E-01     0.308595E-02
    0.4883  0.252898E-01     0.263910E-02
    0.5216  0.227609E-01     0.223509E-02
    0.5549  0.203791E-01     0.187315E-02
    0.5879  0.181422E-01     0.155204E-02
    0.6206  0.160484E-01     0.127009E-02
    0.6528  0.140959E-01     0.102527E-02
    0.6843  0.122829E-01     0.815252E-03
    0.7151  0.106073E-01     0.637442E-03
    0.7450  0.906675E-02     0.489083E-03
    0.7739  0.765848E-02     0.367298E-03
    0.8016  0.637957E-02     0.269158E-03
    0.8280  0.522705E-02     0.191736E-03
    0.8530  0.419812E-02     0.132156E-03
    0.8766  0.329061E-02     0.876329E-04
    0.8986  0.250363E-02     0.555110E-04
    0.9189  0.183822E-02     0.332875E-04
    0.9374  0.129632E-02     0.186454E-04
    0.9531  0.891631E-03     0.991396E-05
    0.9663  0.595250E-03     0.497943E-05
    0.9776  0.368690E-03     0.221151E-05
    0.9871  0.205236E-03     0.827241E-06
    0.9948  0.972990E-04     0.239703E-06
    1.0006  0.352528E-04     0.456657E-07
    1.0044  0.739602E-05     0.389524E-08
    1.0064  0.432909E-06     0.531697E-10
    1.0066   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0066306511231162     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.807184E-01    -0.150991E-01
   -0.0003  0.805854E-01    -0.150578E-01
   -0.0023  0.803193E-01    -0.149754E-01
   -0.0064  0.797885E-01    -0.148118E-01
   -0.0125  0.789953E-01    -0.145692E-01
   -0.0206  0.779436E-01    -0.142511E-01
   -0.0307  0.766387E-01    -0.138620E-01
   -0.0427  0.750869E-01    -0.134074E-01
   -0.0565  0.732965E-01    -0.128935E-01
   -0.0722  0.712772E-01    -0.123275E-01
   -0.0896  0.690419E-01    -0.117170E-01
   -0.1087  0.666126E-01    -0.110704E-01
   -0.1294  0.640254E-01    -0.103959E-01
   -0.1525  0.611669E-01    -0.967111E-02
   -0.1782  0.580089E-01    -0.890756E-02
   -0.2052  0.546664E-01    -0.814580E-02
   -0.2336  0.511706E-01    -0.739589E-02
   -0.2631  0.475752E-01    -0.666715E-02
   -0.2937  0.439520E-01    -0.596763E-02
   -0.3252  0.403814E-01    -0.530367E-02
   -0.3571  0.369838E-01    -0.468359E-02
   -0.3893  0.338048E-01    -0.410868E-02
   -0.4220  0.308046E-01    -0.357589E-02
   -0.4550  0.279693E-01    -0.308595E-02
   -0.4883  0.252898E-01    -0.263910E-02
   -0.5216  0.227609E-01    -0.223509E-02
   -0.5549  0.203791E-01    -0.187315E-02
   -0.5879  0.181422E-01    -0.155204E-02
   -0.6206  0.160484E-01    -0.127009E-02
   -0.6528  0.140959E-01    -0.102527E-02
   -0.6843  0.122829E-01    -0.815252E-03
   -0.7151  0.106073E-01    -0.637442E-03
   -0.7450  0.906675E-02    -0.489083E-03
   -0.7739  0.765848E-02    -0.367298E-03
   -0.8016  0.637957E-02    -0.269158E-03
   -0.8280  0.522705E-02    -0.191736E-03
   -0.8530  0.419812E-02    -0.132156E-03
   -0.8766  0.329061E-02    -0.876329E-04
   -0.8986  0.250363E-02    -0.555110E-04
   -0.9189  0.183822E-02    -0.332875E-04
   -0.9374  0.129632E-02    -0.186454E-04
   -0.9531  0.891631E-03    -0.991396E-05
   -0.9663  0.595250E-03    -0.497943E-05
   -0.9776  0.368690E-03    -0.221151E-05
   -0.9871  0.205236E-03    -0.827241E-06
   -0.9948  0.972990E-04    -0.239703E-06
   -1.0006  0.352528E-04    -0.456657E-07
   -1.0044  0.739602E-05    -0.389524E-08
   -1.0064  0.432909E-06    -0.531697E-10
   -1.0066   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.11657662780779071     
     2Ymax/Bref =   0.18073642308785895     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1166  0.952451E-03     0.286638E-04
    0.1169  0.950337E-03     0.276413E-04
    0.1190  0.941059E-03     0.256084E-04
    0.1232  0.900539E-03     0.217845E-04
    0.1291  0.806785E-03     0.167711E-04
    0.1364  0.658255E-03     0.115022E-04
    0.1445  0.484558E-03     0.691815E-05
    0.1528  0.322096E-03     0.356833E-05
    0.1609  0.190329E-03     0.151287E-05
    0.1682  0.951771E-04     0.486081E-06
    0.1741  0.361362E-04     0.100488E-06
    0.1783  0.787547E-05     0.910346E-08
    0.1805  0.473863E-06     0.129535E-09
    0.1807   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.18073642308785895     
     2Ymax/Bref =  -0.11657662780779071     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1166  0.952451E-03    -0.286638E-04
   -0.1169  0.950337E-03    -0.276413E-04
   -0.1190  0.941059E-03    -0.256084E-04
   -0.1232  0.900539E-03    -0.217845E-04
   -0.1291  0.806785E-03    -0.167711E-04
   -0.1364  0.658255E-03    -0.115022E-04
   -0.1445  0.484558E-03    -0.691815E-05
   -0.1528  0.322096E-03    -0.356833E-05
   -0.1609  0.190329E-03    -0.151287E-05
   -0.1682  0.951771E-04    -0.486081E-06
   -0.1741  0.361362E-04    -0.100488E-06
   -0.1783  0.787547E-05    -0.910346E-08
   -0.1805  0.473863E-06    -0.129535E-09
   -0.1807   0.00000         -0.00000    
