
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24764_17_b23c68                                     
  Mach  =    0.850
  alpha =    2.194    CLtot =    0.181
  beta  =    0.000

  Sref  =   826.50000
  Bref  =    70.09000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0065772578113854     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1236  0.114260E-02    -0.275967E-04
   -0.1296  0.101793E-02    -0.212298E-04
   -0.1369  0.827378E-03    -0.145698E-04
   -0.1450  0.609471E-03    -0.878566E-05
   -0.1534  0.406979E-03    -0.454955E-05
   -0.1615  0.241915E-03    -0.193740E-05
   -0.1688  0.121683E-03    -0.625099E-06
   -0.1747  0.464290E-04    -0.129689E-06
   -0.1789  0.101546E-04    -0.117816E-07
   -0.1811  0.612275E-06    -0.167968E-09
   -0.1814   0.00000         -0.00000    
