
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_23676_3_5ca127                                      
  Mach  =    0.850
  alpha =    1.764    CLtot =    0.170
  beta  =    0.000

  Sref  =   896.90000
  Bref  =    65.91000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062084660901229     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1315  0.769737E-03    -0.196357E-04
   -0.1378  0.681555E-03    -0.150877E-04
   -0.1455  0.551734E-03    -0.103542E-04
   -0.1542  0.406685E-03    -0.625133E-05
   -0.1631  0.272330E-03    -0.324203E-05
   -0.1717  0.162205E-03    -0.138186E-05
   -0.1795  0.816424E-04    -0.445943E-06
   -0.1858  0.311433E-04    -0.924952E-07
   -0.1903  0.680754E-05    -0.839886E-08
   -0.1926  0.410259E-06    -0.119686E-09
   -0.1929   0.00000         -0.00000    
