
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_746820_6_b8603c                                     
  Mach  =    0.850
  alpha =    1.475    CLtot =    0.151
  beta  =    0.000

  Sref  =  1171.60000
  Bref  =    75.82000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0070904774465841     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1143  0.898900E-03    -0.198916E-04
   -0.1198  0.800832E-03    -0.152612E-04
   -0.1265  0.649377E-03    -0.104226E-04
   -0.1340  0.475121E-03    -0.623803E-05
   -0.1418  0.313677E-03    -0.319911E-05
   -0.1493  0.183835E-03    -0.134771E-05
   -0.1560  0.911385E-04    -0.430276E-06
   -0.1615  0.343375E-04    -0.884542E-07
   -0.1654  0.744057E-05    -0.797716E-08
   -0.1674  0.446119E-06    -0.113137E-09
   -0.1677   0.00000         -0.00000    
