
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24704_8_c079af                                      
  Mach  =    0.850
  alpha =    2.320    CLtot =    0.174
  beta  =    0.000

  Sref  =   896.10000
  Bref  =    52.45000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0059752144899903     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1652  0.989129E-03    -0.320800E-04
   -0.1732  0.876536E-03    -0.247330E-04
   -0.1829  0.712174E-03    -0.170706E-04
   -0.1937  0.529961E-03    -0.103886E-04
   -0.2050  0.359497E-03    -0.543507E-05
   -0.2158  0.216752E-03    -0.233519E-05
   -0.2256  0.110156E-03    -0.758493E-06
   -0.2335  0.423094E-04    -0.158083E-06
   -0.2391  0.928872E-05    -0.144034E-07
   -0.2420  0.561132E-06    -0.205710E-09
   -0.2424   0.00000         -0.00000    
