
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_31148_16_04bade                                     
  Mach  =    0.850
  alpha =    1.961    CLtot =    0.178
  beta  =    0.000

  Sref  =   893.50000
  Bref  =    68.82000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064661435629179     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1259  0.114882E-02    -0.282945E-04
   -0.1320  0.102502E-02    -0.217701E-04
   -0.1394  0.833860E-03    -0.149372E-04
   -0.1477  0.614154E-03    -0.900061E-05
   -0.1562  0.409649E-03    -0.465512E-05
   -0.1645  0.243048E-03    -0.197917E-05
   -0.1719  0.121968E-03    -0.637444E-06
   -0.1780  0.464315E-04    -0.132029E-06
   -0.1822  0.101370E-04    -0.119773E-07
   -0.1844  0.610544E-06    -0.170584E-09
   -0.1847   0.00000         -0.00000    
