
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_26900_2_e5a47b                                      
  Mach  =    0.850
  alpha =    1.670    CLtot =    0.164
  beta  =    0.000

  Sref  =   934.00000
  Bref  =    70.01000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062762462505355     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1238  0.877348E-03    -0.211260E-04
   -0.1297  0.783325E-03    -0.162265E-04
   -0.1370  0.636736E-03    -0.110954E-04
   -0.1452  0.466708E-03    -0.664833E-05
   -0.1536  0.308483E-03    -0.341398E-05
   -0.1617  0.181127E-03    -0.144078E-05
   -0.1690  0.900382E-04    -0.460974E-06
   -0.1749  0.340203E-04    -0.949673E-07
   -0.1791  0.738920E-05    -0.858043E-08
   -0.1813  0.443711E-06    -0.121864E-09
   -0.1816   0.00000         -0.00000    
