
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_10372_5_1d8e7d                                      
  Mach  =    0.850
  alpha =    1.800    CLtot =    0.164
  beta  =    0.000

  Sref  =   986.00000
  Bref  =    67.85000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064023581429626     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1277  0.111027E-02    -0.273674E-04
   -0.1339  0.987864E-03    -0.209803E-04
   -0.1414  0.799192E-03    -0.143175E-04
   -0.1498  0.583513E-03    -0.856759E-05
   -0.1585  0.385151E-03    -0.439736E-05
   -0.1668  0.226103E-03    -0.185549E-05
   -0.1744  0.112375E-03    -0.593526E-06
   -0.1805  0.424421E-04    -0.122233E-06
   -0.1848  0.921393E-05    -0.110396E-07
   -0.1871  0.553078E-06    -0.156737E-09
   -0.1874   0.00000         -0.00000    
