
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_18088_6_7ea39e                                      
  Mach  =    0.850
  alpha =    1.540    CLtot =    0.149
  beta  =    0.000

  Sref  =  1127.40000
  Bref  =    75.26000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064363539728940     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1152  0.602389E-03    -0.136913E-04
   -0.1207  0.536848E-03    -0.105647E-04
   -0.1275  0.438726E-03    -0.728557E-05
   -0.1350  0.326323E-03    -0.441739E-05
   -0.1429  0.219865E-03    -0.229749E-05
   -0.1504  0.131372E-03    -0.980699E-06
   -0.1572  0.661939E-04    -0.316625E-06
   -0.1627  0.252486E-04    -0.656642E-07
   -0.1666  0.551656E-05    -0.596036E-08
   -0.1687  0.332322E-06    -0.849045E-10
   -0.1689   0.00000         -0.00000    
