
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_9972_1_fa111f                                       
  Mach  =    0.850
  alpha =    2.141    CLtot =    0.185
  beta  =    0.000

  Sref  =   834.70000
  Bref  =    61.56000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063092917478882     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1408  0.911652E-03    -0.255218E-04
   -0.1475  0.811202E-03    -0.197412E-04
   -0.1558  0.663565E-03    -0.136809E-04
   -0.1651  0.497149E-03    -0.836096E-05
   -0.1746  0.339201E-03    -0.439246E-05
   -0.1839  0.205671E-03    -0.189512E-05
   -0.1922  0.105106E-03    -0.618038E-06
   -0.1989  0.405677E-04    -0.129267E-06
   -0.2037  0.893899E-05    -0.118117E-07
   -0.2062  0.541227E-06    -0.169051E-09
   -0.2065   0.00000         -0.00000    
