
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_13648_10_ac9aaa                                     
  Mach  =    0.850
  alpha =    2.326    CLtot =    0.181
  beta  =    0.000

  Sref  =   860.30000
  Bref  =    62.22000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060912889746061     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1393  0.112423E-02    -0.313650E-04
   -0.1460  0.100606E-02    -0.242932E-04
   -0.1542  0.826836E-03    -0.168411E-04
   -0.1633  0.620118E-03    -0.102796E-04
   -0.1728  0.422132E-03    -0.538655E-05
   -0.1819  0.254900E-03    -0.231639E-05
   -0.1901  0.129660E-03    -0.752875E-06
   -0.1968  0.498386E-04    -0.157002E-06
   -0.2016  0.109489E-04    -0.143123E-07
   -0.2040  0.661748E-06    -0.204503E-09
   -0.2043   0.00000         -0.00000    
