
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_671576_15_5520e6                                    
  Mach  =    0.850
  alpha =    1.741    CLtot =    0.151
  beta  =    0.000

  Sref  =  1077.90000
  Bref  =    66.09000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062369496141625     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1311  0.958477E-03    -0.242119E-04
   -0.1374  0.852442E-03    -0.185524E-04
   -0.1452  0.688634E-03    -0.126537E-04
   -0.1538  0.501998E-03    -0.757062E-05
   -0.1627  0.331284E-03    -0.388769E-05
   -0.1713  0.194701E-03    -0.164217E-05
   -0.1790  0.969256E-04    -0.525927E-06
   -0.1853  0.366624E-04    -0.108429E-06
   -0.1898  0.796779E-05    -0.980125E-08
   -0.1921  0.478576E-06    -0.139236E-09
   -0.1924   0.00000         -0.00000    
