
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_5312_7_4cc056                                       
  Mach  =    0.850
  alpha =    1.918    CLtot =    0.160
  beta  =    0.000

  Sref  =  1024.00000
  Bref  =    64.51000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060920787474810     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1343  0.914007E-03    -0.241147E-04
   -0.1408  0.813423E-03    -0.185838E-04
   -0.1487  0.662815E-03    -0.127949E-04
   -0.1575  0.491571E-03    -0.774589E-05
   -0.1667  0.330494E-03    -0.402354E-05
   -0.1755  0.197157E-03    -0.171573E-05
   -0.1834  0.992211E-04    -0.553512E-06
   -0.1898  0.378184E-04    -0.114738E-06
   -0.1944  0.826092E-05    -0.104129E-07
   -0.1968  0.497697E-06    -0.148345E-09
   -0.1971   0.00000         -0.00000    
