
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_33496_9_02bde4                                      
  Mach  =    0.850
  alpha =    1.947    CLtot =    0.157
  beta  =    0.000

  Sref  =  1024.00000
  Bref  =    65.41000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062345207154870     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1325  0.109393E-02    -0.278875E-04
   -0.1389  0.972248E-03    -0.213630E-04
   -0.1467  0.785211E-03    -0.145662E-04
   -0.1554  0.572379E-03    -0.871011E-05
   -0.1644  0.377435E-03    -0.446849E-05
   -0.1731  0.221469E-03    -0.188507E-05
   -0.1809  0.110052E-03    -0.602933E-06
   -0.1872  0.415635E-04    -0.124168E-06
   -0.1917  0.902326E-05    -0.112145E-07
   -0.1941  0.541640E-06    -0.159222E-09
   -0.1944   0.00000         -0.00000    
