
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_752736_7_6bcc53                                     
  Mach  =    0.850
  alpha =    1.709    CLtot =    0.164
  beta  =    0.000

  Sref  =   925.50000
  Bref  =    69.08000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063259988419224     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1255  0.533963E-03    -0.132827E-04
   -0.1315  0.475292E-03    -0.102650E-04
   -0.1389  0.388945E-03    -0.710020E-05
   -0.1471  0.290703E-03    -0.432424E-05
   -0.1556  0.197106E-03    -0.226155E-05
   -0.1639  0.118709E-03    -0.971630E-06
   -0.1713  0.603632E-04    -0.315872E-06
   -0.1773  0.232286E-04    -0.659327E-07
   -0.1815  0.511033E-05    -0.601723E-08
   -0.1838  0.309179E-06    -0.860585E-10
   -0.1840   0.00000         -0.00000    
