
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24692_12_bd2831                                     
  Mach  =    0.850
  alpha =    2.008    CLtot =    0.180
  beta  =    0.000

  Sref  =   887.50000
  Bref  =    65.27000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063306266278536     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1328  0.137825E-02    -0.350491E-04
   -0.1392  0.122278E-02    -0.268181E-04
   -0.1470  0.984645E-03    -0.182627E-04
   -0.1557  0.715853E-03    -0.109117E-04
   -0.1647  0.471585E-03    -0.559758E-05
   -0.1734  0.276794E-03    -0.236247E-05
   -0.1812  0.137662E-03    -0.756153E-06
   -0.1876  0.520410E-04    -0.155835E-06
   -0.1921  0.113071E-04    -0.140836E-07
   -0.1945  0.679103E-06    -0.200059E-09
   -0.1948   0.00000         -0.00000    
