
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24668_10_70c97e                                     
  Mach  =    0.850
  alpha =    2.091    CLtot =    0.172
  beta  =    0.000

  Sref  =   913.20000
  Bref  =    64.70000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060401854714065     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1339  0.819742E-03    -0.220932E-04
   -0.1404  0.731075E-03    -0.171424E-04
   -0.1483  0.601289E-03    -0.119330E-04
   -0.1571  0.454330E-03    -0.732957E-05
   -0.1662  0.312568E-03    -0.386723E-05
   -0.1750  0.190541E-03    -0.167322E-05
   -0.1828  0.976327E-04    -0.546493E-06
   -0.1893  0.377236E-04    -0.114381E-06
   -0.1938  0.831532E-05    -0.104545E-07
   -0.1962  0.503529E-06    -0.149643E-09
   -0.1965   0.00000         -0.00000    
