
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_31928_16_560c4f                                     
  Mach  =    0.850
  alpha =    1.917    CLtot =    0.157
  beta  =    0.000

  Sref  =  1044.80000
  Bref  =    69.86000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064414543372460     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1241  0.652403E-03    -0.164238E-04
   -0.1300  0.583779E-03    -0.127689E-04
   -0.1373  0.483324E-03    -0.890482E-05
   -0.1455  0.367043E-03    -0.547036E-05
   -0.1539  0.252407E-03    -0.288027E-05
   -0.1620  0.153248E-03    -0.124190E-05
   -0.1693  0.781240E-04    -0.404085E-06
   -0.1753  0.300419E-04    -0.842812E-07
   -0.1795  0.659776E-05    -0.768111E-08
   -0.1817  0.398592E-06    -0.109708E-09
   -0.1820   0.00000         -0.00000    
